unit,day,minutes,size_mb,width,height,topic_guess,path
2,1,27.76,79.0,1920,1440,U2 - D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U2 - D1 Video.mp4
8,1,8.57,298.5,1440,1920,U8-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U8-D1 Video(1).mp4
8,3,11.25,389.0,1440,1920,U8-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U8-D3 Video(1).mp4
review,,40.97,1331.3,1440,1920,A2B Final Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 21/A2B Final Review Video (23-24)(1).MP4
7,1,13.53,399.5,1440,1920,U7-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 21/U7-D1 Video (23-24)(1).mp4
review,,12.32,281.1,1440,1920,Unit 7 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 21/Unit 7 Study Guide Video (23-24)(1).mp4
6,4,7.93,259.1,1440,1920,U6-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 22/U6-D4 Video Part 2 (23-24)(1).mp4
7,2,15.96,521.1,1440,1920,U7-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 22/U7-D2 Video (23-24)(1).mp4
7,3,14.78,642.2,1440,1920,U7-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 22/U7-D3 Video (23-24)(1).mp4
7,4,15.95,539.7,1440,1920,U7-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 22/U7-D4 Video(1).mp4
5,2,15.79,429.1,1440,1920,U5-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 23/U5-D2 Video (23-24)(1).mp4
6,3,10.45,302.3,1440,1920,U6-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 23/U6-D3 Video (23-24)(1).mp4
6,5,11.46,404.8,1440,1920,U6-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 23/U6-D5 video 22-23(1).mp4
6,6,10.77,403.9,1440,1920,U6-D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 23/U6-D6 Video (23-24)(1).mp4
review,,16.65,435.1,1440,1920,Unit 6 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 23/Unit 6 Study Guide Video (23-24)(1).mp4
review,,12.05,234.2,1440,1920,U2 Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 24/U2 Review Video(1).mp4
2,5,7.05,244.4,1440,1920,U2-D5 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 24/U2-D5 Video (PART 2)(1).MP4
review,,13.04,577.7,1440,1920,U3 Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 24/U3 Review Video.MP4
3,2,14.0,516.9,1440,1920,U3-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 24/U3-D2 Video(1).mp4
4,4,11.16,129.5,640,480,U4-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 24/U4-D4 Video.mov
6,2,8.15,260.3,1440,1920,U6-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 24/U6-D2  Video (23-24)(1).MP4
2,3,12.33,388.0,1440,1920,U2-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 25/U2-D3 Video(1).mp4
2,4,10.8,327.9,1440,1920,U2-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 25/U2-D4 Video(1).mp4
2,5,6.51,258.2,1440,1920,U2-D5 (),teacher and student work/Copy of Algebra 2B (Khan) G Block 25/U2-D5 Video (PART 1)(1).mp4
unknown,,5.98,333.9,1440,1920,U5 Calculator Help,teacher and student work/Copy of Algebra 2B (Khan) G Block 25/U5 Calculator Help Video(1).mp4
